Model,RMSE,MAE,MAPE
SARIMA,29570.251490057974,24452.525875007104,13.029224085933983
Prophet,40685.64161489446,28501.177073585994,17.683050479996744
XGBoost,34698.424520357206,31808.321614583332,15.963826037114949
